Date,Close/Last,Volume,Open,High,Low
03/12/2013,437.6743,--,435.8537,438.0843,434.3088
03/11/2013,435.8537,--,435.258,436.364,431.8881
03/08/2013,435.258,--,434.6818,437.5281,431.5161
03/07/2013,434.6818,--,432.9603,436.994,433.3332
03/06/2013,432.9603,--,432.3914,435.2476,431.5981
03/05/2013,432.3914,--,424.0071,433.2376,428.0864
03/04/2013,424.0071,--,425.0886,424.6328,420.8443
03/01/2013,425.0886,--,426.6301,426.4177,419.2947
02/28/2013,426.6301,--,426.4573,430.2345,425.6544
02/27/2013,426.4573,--,419.8949,428.5342,419.4832
02/26/2013,419.8949,--,416.6649,420.8906,416.2508
02/25/2013,416.6649,--,424.9773,428.5899,416.6623
02/22/2013,424.9773,--,416.2681,425.2601,419.0787
02/21/2013,416.2681,--,423.9484,422.3983,413.299
02/20/2013,423.9484,--,433.6373,433.928,423.783
02/19/2013,433.6373,--,428.4964,433.6995,428.2376
02/15/2013,428.4964,--,431.0848,432.2164,426.7282
02/14/2013,431.0848,--,427.4811,431.5169,425.0792
02/13/2013,427.4811,--,426.2784,429.1179,424.8025
02/12/2013,426.2784,--,425.2426,426.9432,423.7613
02/11/2013,425.2426,--,424.81,426.2749,423.1756
02/08/2013,424.81,--,419.2581,425.2478,421.093
02/07/2013,419.2581,--,421.5577,420.6296,415.406
02/06/2013,421.5577,--,420.691,421.8301,417.7411
02/05/2013,420.691,--,414.1836,421.4178,415.3344
02/04/2013,414.1836,--,420.5499,421.539,414.1162
02/01/2013,420.5499,--,412.7292,420.9465,415.2322
01/31/2013,412.7292,--,414.1018,416.1497,411.9574
01/30/2013,414.1018,--,413.2836,416.4051,413.2346
01/29/2013,413.2836,--,416.1568,415.0369,411.9577
01/28/2013,416.1568,--,416.0434,417.705,414.9867
01/25/2013,415.4403,--,410.2376,417.3562,412.7744
01/24/2013,410.2376,--,413.8838,413.8754,407.4426
01/23/2013,413.8838,--,409.6028,414.4409,409.9193
01/22/2013,409.6028,--,410.638,410.2884,407.0561
01/18/2013,410.638,--,412.5307,412.1642,408.6762
01/17/2013,412.5307,--,404.4611,413.2707,405.2998
01/16/2013,404.4611,--,399.8709,405.5074,399.632
01/15/2013,399.8709,--,401.8937,400.3851,398.0992
01/14/2013,401.8937,--,402.8606,403.0179,398.6841
01/11/2013,402.8606,--,400.7347,403.2337,400.4962
01/10/2013,400.7347,--,395.4693,401.3533,397.4875
01/09/2013,395.4693,--,391.3578,395.5204,392.8688
01/08/2013,391.3578,--,395.7765,396.5556,391.0551
01/07/2013,395.7765,--,397.6789,397.5634,393.842
01/04/2013,397.6789,--,397.5405,398.5914,395.0049
01/03/2013,397.5405,--,399.7313,400.6741,396.2595
01/02/2013,399.7313,--,384.0563,399.8214,392.7745
12/31/2012,384.0563,--,376.8748,384.6342,375.869
12/28/2012,376.8748,--,379.5508,380.6524,376.5595
12/27/2012,379.5508,--,381.009,381.0539,375.1624
12/26/2012,381.009,--,384.1445,387.2881,380.8686
12/24/2012,384.1445,--,385.5889,385.1597,382.7628
12/21/2012,385.59,--,381.33,385.74,379.2
12/20/2012,389.49,--,389.97,390.07,385.78
12/19/2012,389.47,--,390.3,393.24,389.44
12/18/2012,388.73,--,384.06,389.73,383.48
12/17/2012,382.62,--,381.48,384.18,379.21
12/14/2012,381.03,--,382.53,383.91,379.11
12/13/2012,383.67,--,386.42,390.46,382.44
12/12/2012,387.74,--,390.56,391.29,386.96
12/11/2012,389,--,383.62,390.17,383.58
12/10/2012,381.83,--,378.92,382.7,378.92
12/07/2012,379.46,--,379.15,380.27,376.85
12/06/2012,378.63,--,375.13,378.66,374.14
12/05/2012,374.46,--,374.65,376.07,371.82
12/04/2012,375.03,--,373.08,376,370.97
12/03/2012,372.54,--,376.77,377.78,372.2
11/30/2012,374.35,--,374.95,376.21,373.14
11/29/2012,374.83,--,375.01,377.01,372.26
11/28/2012,373.83,--,367.37,374.12,364.33
11/27/2012,369.81,--,369.56,373.24,369.15
11/26/2012,370.63,--,368.69,371.6,367.99
11/23/2012,369.16,--,364.37,370.95,364.26
11/21/2012,362.51,--,361.88,363.71,361.11
11/20/2012,361.81,--,361.17,362.21,358.07
11/19/2012,363.14,--,359.4,363.23,359.06
11/16/2012,356,--,357.04,357.42,349.79
11/15/2012,356.14,--,361.23,362.61,355.31
11/14/2012,360.94,--,368.98,369.89,360.19
11/13/2012,366.46,--,367.32,370.15,366.36
11/12/2012,370.02,--,370.77,371.68,367.51
11/09/2012,369.7,--,368.58,374.26,367.98
11/08/2012,368.8,--,373.94,375.76,368.8
11/07/2012,373.27,--,379.04,379.22,371.08
11/06/2012,383.62,--,379.34,384.66,378.44
11/05/2012,378.38,--,371.83,379.38,371.03
11/02/2012,372.31,--,380.1,380.21,372.2
11/01/2012,379.5,--,367.36,380,367.36
10/31/2012,367.03,--,368.48,370.28,365.66
10/26/2012,367.28,--,365.3,369.72,364.36
10/25/2012,365.48,--,363.58,365.95,361.69
10/24/2012,360.52,--,368.15,369.17,360.23
10/23/2012,366.05,--,361.45,367.08,359.92
10/22/2012,365.51,--,365.25,368.23,363.29
10/19/2012,364.92,--,375.56,375.56,364.79
10/18/2012,376.28,--,377.11,379.3,374.13
10/17/2012,379.41,--,376.88,381.77,376.26
10/16/2012,380.26,--,373.62,380.56,373.37
10/15/2012,372.14,--,369.19,372.72,368.34
10/12/2012,366.71,--,368.37,370.17,366.35
10/11/2012,368.66,--,370.54,372.41,368.66
10/10/2012,368.03,--,372.49,372.49,367.51
10/09/2012,373.11,--,378.35,378.35,371.77
10/08/2012,379.13,--,380.94,381.51,377.86
10/05/2012,383.28,--,385.24,389.39,382.56
10/04/2012,383.65,--,382.37,384.21,379.47
10/03/2012,381.17,--,383.76,383.97,380.16
10/02/2012,382.96,--,382.78,383.56,380.16
10/01/2012,381.12,--,384.13,386.28,379.84
09/28/2012,382.27,--,384.41,385.04,381.65
09/27/2012,385.46,--,378.72,386.34,377.39
09/26/2012,376.97,--,378.03,378.03,372
09/25/2012,379.38,--,390.84,391.85,379.2
09/24/2012,389,--,391.92,391.92,387.52
09/21/2012,395.16,--,397.08,399,394.93
09/20/2012,394.63,--,396.62,396.62,392.55
09/19/2012,398.53,--,399.8,401.03,397.68
09/18/2012,400.78,--,401.39,402.39,399.4
09/17/2012,402.48,--,406.51,406.51,400.99
09/14/2012,406.58,--,402.62,410.82,402.58
09/13/2012,401.79,--,396.79,402.72,394.24
09/12/2012,397.95,--,397.86,400.63,395.74
09/11/2012,396.74,--,394.99,398.69,393.72
09/10/2012,394.26,--,399.19,399.89,393.89
09/07/2012,401.23,--,400.3,401.77,399.03
09/06/2012,404.54,--,394.09,404.66,394.01
09/05/2012,390.27,--,393.33,394.88,389.09
09/04/2012,392.82,--,395.76,395.77,388.62
08/31/2012,396.18,--,393.77,397.74,390.47
08/30/2012,390.7,--,395.46,395.46,390.33
08/29/2012,397.42,--,397.1,399.05,394.35
08/28/2012,397.04,--,396.35,399.03,395.45
08/27/2012,397.48,--,399.77,399.78,395.85
08/24/2012,398.95,--,396.41,399.97,394.25
08/23/2012,396.66,--,398.25,398.68,394.49
08/22/2012,399.17,--,401.19,401.68,396.81
08/21/2012,402.3,--,403.1,407.5,400.91
08/20/2012,402.29,--,404.45,404.52,399.6
08/17/2012,405.14,--,406.9,407.02,403.6
08/16/2012,408.26,--,401.35,408.79,401.35
08/15/2012,401.48,--,398.03,403.53,398.03
08/14/2012,399.12,--,404.38,405.04,397.74
08/13/2012,402.41,--,405.32,405.32,398.18
08/10/2012,405.96,--,403.75,406.03,402.88
08/09/2012,403.98,--,400.73,404.56,400.6
08/08/2012,401.15,--,398.98,401.9,397.98
08/07/2012,400.06,--,394.84,403.16,394.72
08/06/2012,392.08,--,391.34,394.13,390.88
08/03/2012,390.1,--,386.9,392.14,384.79
